gender,age,birth_year,race,immigrant_status,marital_status,child_number,age_first_marriage,age_first_childbirth,education,occupation,income,health_work_difficulty,profile_id
Male,46,1933,Hispanic,Immigrant,Married,0.0,36.0,24.0,Less than high school,"Operators, Fabricators, and Laborers",8005.0,Health doesn't affect work,123
Male,25,1954,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,23.0,25.0,High school,Sales Occupations,11265.0,Health doesn't affect work,124
Female,12,1967,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,125
Male,40,1939,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,20.0,37.0,High school,Managerial Occupations,525.0,Health doesn't affect work,126
Female,31,1948,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,22.0,,College and above,Sales Occupations,10005.0,Health doesn't affect work,127
Female,22,1957,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,22.0,,College and above,Managerial Occupations,2030.0,Health doesn't affect work,128
Male,42,1937,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,22.0,29.0,High school,"Operators, Fabricators, and Laborers",13505.0,Health doesn't affect work,129
Female,19,1960,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Sales Occupations,4685.0,Health doesn't affect work,130
Male,49,1930,Hispanic,Immigrant,Married,0.0,38.0,46.0,Less than high school,"Operators, Fabricators, and Laborers",6005.0,Health doesn't affect work,131
Male,7,1972,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,132
Female,38,1941,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,15.0,20.0,High school,Professional Specialty Occupations,305.0,Health doesn't affect work,133
Male,27,1952,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,23.0,24.0,High school,Military Occupations,10020.0,Health doesn't affect work,134
Male,23,1956,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Managerial Occupations,18310.0,Health doesn't affect work,135
Male,31,1948,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,27.0,29.0,High school,Managerial Occupations,21015.0,Health doesn't affect work,136
Female,25,1954,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,18.0,20.0,High school,Service Occupations,170.0,Health doesn't affect work,137
Female,53,1926,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,20.0,,High school,Sales Occupations,1460.0,Health affects work,138
Female,8,1972,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,139
Female,7,1973,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,140
Male,5,1975,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,141
Female,28,1951,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,20.0,25.0,College and above,Clerical and Administrative Support Occupations,3505.0,Health doesn't affect work,142
Male,46,1933,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,42.0,,High school,"Farming, Forestry, and Fishing Occupations",6510.0,Health doesn't affect work,143
Male,32,1947,Hispanic,Immigrant,Married,0.0,30.0,,High school,"Precision Production, Craft, and Repair Occupations",7005.0,Health doesn't affect work,144
Male,58,1921,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,,College and above,Professional Specialty Occupations,75000.0,Health doesn't affect work,145
Female,9,1971,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,146
Female,48,1931,"Non-Black, Non-Hispanic",Non-immigrant,Married,4.0,22.0,24.0,High school,Clerical and Administrative Support Occupations,20215.0,Health doesn't affect work,147
Male,21,1958,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Clerical and Administrative Support Occupations,0.0,Health doesn't affect work,148
Female,23,1956,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,18.0,19.0,High school,Service Occupations,1445.0,Health doesn't affect work,149
Female,6,1974,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,150
Male,25,1955,Hispanic,Non-immigrant,Married,0.0,22.0,,High school,Clerical and Administrative Support Occupations,19005.0,Health doesn't affect work,151
Male,34,1945,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,18.0,20.0,High school,"Operators, Fabricators, and Laborers",12005.0,Health doesn't affect work,152
Male,48,1931,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,23.0,36.0,College and above,Managerial Occupations,27515.0,Health doesn't affect work,153
Male,35,1944,Hispanic,Immigrant,Married,0.0,19.0,20.0,High school,"Operators, Fabricators, and Laborers",22705.0,Health doesn't affect work,154
Female,12,1967,Hispanic,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,155
Male,3,1976,Hispanic,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,156
Male,43,1937,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Professional Specialty Occupations,25480.0,Health doesn't affect work,157
Male,65,1915,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,19.0,,College and above,Professional Specialty Occupations,18005.0,Health doesn't affect work,158
Male,34,1945,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,30.0,College and above,"Precision Production, Craft, and Repair Occupations",29005.0,Health doesn't affect work,159
Female,53,1927,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,6.0,19.0,,High school,,2430.0,Health affects work,160
Female,10,1969,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,161
Female,0,1979,Hispanic,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,162
Female,87,1893,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,1.0,34.0,,College and above,,5110.0,Health doesn't affect work,163
Female,72,1907,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,1.0,30.0,,Less than high school,,5705.0,Health doesn't affect work,164
Male,23,1956,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Clerical and Administrative Support Occupations,13560.0,Health doesn't affect work,165
Female,70,1909,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,,4805.0,Health doesn't affect work,166
Male,72,1907,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,20.0,,Less than high school,,7265.0,Health doesn't affect work,167
Female,63,1917,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,21.0,,High school,,1590.0,Health doesn't affect work,168
Male,8,1971,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,169
Male,20,1959,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,"Operators, Fabricators, and Laborers",7805.0,Health doesn't affect work,170
Female,76,1904,"Non-Black, Non-Hispanic",Immigrant,Single,0.0,,,High school,,1955.0,Health doesn't affect work,171
Male,72,1908,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,33.0,,Less than high school,,2955.0,Health doesn't affect work,172
Female,13,1966,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,173
Male,78,1902,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,22.0,,High school,,7370.0,Health affects work,174
Female,72,1908,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,21.0,24.0,High school,,11655.0,Health doesn't affect work,175
Female,10,1970,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,176
Male,20,1959,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,"Precision Production, Craft, and Repair Occupations",9365.0,Health doesn't affect work,177
Female,11,1968,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,178
Female,16,1963,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Sales Occupations,3360.0,Health doesn't affect work,179
Male,6,1974,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,180
Male,6,1973,Hispanic,Immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,181
Female,13,1966,Hispanic,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,182
Female,1,1978,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,183
Female,35,1944,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,22.0,25.0,College and above,Sales Occupations,2405.0,Health doesn't affect work,184
Female,20,1959,Hispanic,Immigrant,Single,0.0,,,High school,,0.0,Health doesn't affect work,185
Male,4,1975,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,186
Male,25,1955,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,"Operators, Fabricators, and Laborers",20140.0,Health doesn't affect work,187
Female,49,1930,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,21.0,29.0,College and above,Service Occupations,6005.0,Health doesn't affect work,188
Male,16,1963,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,,0.0,Health doesn't affect work,189
Male,32,1947,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,"Precision Production, Craft, and Repair Occupations",6605.0,Health doesn't affect work,190
Female,40,1940,"Non-Black, Non-Hispanic",Non-immigrant,Married,4.0,31.0,32.0,College and above,Professional Specialty Occupations,7005.0,Health affects work,191
Female,31,1948,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,17.0,18.0,High school,,0.0,Health doesn't affect work,192
