gender,age,birth_year,race,marital_status,child_number,age_first_childbirth,education,laborforce,occupation,income,poverty_status,profile_id
Female,26,1954.0,"Non-Black, Non-Hispanic",Married,3,22.0,High school,In the labor force,Clerical and Administrative Support Occupations,271.0,Above poverty line,172
Male,27,1953.0,"Non-Black, Non-Hispanic",Married,3,24.0,High school,In the labor force,"Precision Production, Craft, and Repair Occupations",23005.0,Above poverty line,173
Male,59,1921.0,Hispanic,Married,0,,High school,Not in the labor force,,11286.0,Above poverty line,174
Male,3,1977.0,Black,Single,0,,Less than high school,,,,Above poverty line,175
Female,15,1965.0,Hispanic,Single,0,,High school,Not in the labor force,,0.0,Above poverty line,176
Female,1,1979.0,Black,Single,0,,Less than high school,,,,Above poverty line,177
Female,17,1963.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,In the labor force,Sales Occupations,4100.0,Above poverty line,178
Male,84,1896.0,"Non-Black, Non-Hispanic",Married,0,,College and above,Not in the labor force,,10292.0,Above poverty line,179
Female,79,1901.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,Less than high school,Not in the labor force,,3120.0,Below poverty line,180
Female,35,1945.0,"Non-Black, Non-Hispanic",Divorced/widowed,1,18.0,College and above,In the labor force,"Operators, Fabricators, and Laborers",7248.0,Above poverty line,181
Female,48,1932.0,Hispanic,Married,1,38.0,Less than high school,Not in the labor force,,4446.0,Below poverty line,182
Male,35,1945.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,College and above,In the labor force,"Precision Production, Craft, and Repair Occupations",20928.0,Above poverty line,183
Female,42,1938.0,"Non-Black, Non-Hispanic",Married,4,24.0,Less than high school,In the labor force,"Operators, Fabricators, and Laborers",9769.0,Above poverty line,184
Female,55,1925.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Professional Specialty Occupations,15622.0,Above poverty line,185
Male,58,1922.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Managerial Occupations,21000.0,Above poverty line,186
Male,19,1961.0,"Non-Black, Non-Hispanic",Single,0,,High school,In the labor force,"Precision Production, Craft, and Repair Occupations",8000.0,Above poverty line,187
Female,47,1933.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Professional Specialty Occupations,15500.0,Above poverty line,188
Female,33,1947.0,Black,Married,3,20.0,High school,In the labor force,Sales Occupations,2307.0,Above poverty line,189
Male,54,1926.0,Hispanic,Married,4,39.0,College and above,In the labor force,Managerial Occupations,32378.0,Above poverty line,190
Female,26,1954.0,"Non-Black, Non-Hispanic",Married,4,20.0,High school,Not in the labor force,,0.0,Below poverty line,191
Male,55,1925.0,"Non-Black, Non-Hispanic",Married,0,,Less than high school,In the labor force,Managerial Occupations,2500.0,Below poverty line,192
Female,22,1958.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Clerical and Administrative Support Occupations,12044.0,Above poverty line,193
Male,32,1948.0,"Non-Black, Non-Hispanic",Married,4,19.0,High school,In the labor force,"Precision Production, Craft, and Repair Occupations",8000.0,Below poverty line,194
Female,16,1964.0,Black,Single,0,,Less than high school,Not in the labor force,,0.0,Above poverty line,195
Female,5,1975.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,196
Female,66,1914.0,"Non-Black, Non-Hispanic",Married,0,,High school,Not in the labor force,,1901.0,Above poverty line,197
